filename,species,source,rotation_deg,flipped_horizontal,method,confidence,reference_image,needs_review
Amphichaetodon_howensis_FishBase_Amhow_u3.jpg,Amphichaetodon howensis,fishbase,0.0,no,trusted_source,0.1246,Amphichaetodon_howensis_Bishop_-369771762.jpg,no
Amphichaetodon_howensis_Bishop_-1464681654.jpg,Amphichaetodon howensis,bishop,3.0,no,trusted_source,0.0941,Amphichaetodon_howensis_Bishop_-369771762.jpg,no
Amphichaetodon_howensis_Bishop_-369771762.jpg,Amphichaetodon howensis,bishop,0.0,no,trusted_source,1.0,Amphichaetodon_howensis_Bishop_-369771762.jpg,no
Amphichaetodon_howensis_Bishop_472868867 Background Removed.png,Amphichaetodon howensis,bishop,2.2,no,trusted_source,0.1208,Amphichaetodon_howensis_Bishop_-369771762.jpg,no
Amphichaetodon_howensis_Bishop_472868867.jpg,Amphichaetodon howensis,bishop,2.4,no,trusted_source,0.1216,Amphichaetodon_howensis_Bishop_-369771762.jpg,no
Amphichaetodon_howensis_FishBase_Amhow_u0.jpg,Amphichaetodon howensis,fishbase,-7.2,no,trusted_source,0.0419,Amphichaetodon_howensis_Bishop_-369771762.jpg,no
Amphichaetodon_howensis_FishBase_Amhow_u1.jpg,Amphichaetodon howensis,fishbase,3.4,no,trusted_source,0.1163,Amphichaetodon_howensis_Bishop_-369771762.jpg,no
Amphichaetodon_howensis_FishBase_Amhow_u2.jpg,Amphichaetodon howensis,fishbase,2.9,no,trusted_source,0.0977,Amphichaetodon_howensis_Bishop_-369771762.jpg,no
Amphichaetodon_howensis_iNaturalist_11105384.jpg,Amphichaetodon howensis,inaturalist,0.0,no,template_ok,0.0251,Amphichaetodon_howensis_Bishop_-369771762.jpg,no
Amphichaetodon_howensis_iNaturalist_33167253.jpg,Amphichaetodon howensis,inaturalist,0.0,no,template_ok,0.1863,Amphichaetodon_howensis_Bishop_-369771762.jpg,no
Amphichaetodon_howensis_iNaturalist_33719286.jpg,Amphichaetodon howensis,inaturalist,0.0,no,template_ok,0.0144,Amphichaetodon_howensis_Bishop_-369771762.jpg,no
Amphichaetodon_howensis_iNaturalist_33719401.jpg,Amphichaetodon howensis,inaturalist,-14.3,no,template_ok,0.0086,Amphichaetodon_howensis_Bishop_-369771762.jpg,no
